//INPUT DD *                                                                    
AAA     ASS'Y ARRANGEMENT                                                       
B851    STAINLESS STEEL (ALL TYPES)                                             
B852    NON CONDUCTIVE (GLASS,NYLON,PLEXI,REXALITE,PLASTIC,TEFLON)              
B853    STEEL OTHER THAN STAINLESS                                              
B854    RAW SAPHIRE,BEO                                                         
B855    TRANSISTOR PACKAGES (HEADERS/CAPS)                                      
B856    STAMPINGS                                                               
B857    PCB/PW RAW MATERIAL                                                     
B858    SOLDER/SOLDER FLUX                                                      
B859    ENCAPSULENTS/THERMAL COMPOUNDS/EPOXY                                    
C860-899OPEN                                                                    
A900-999OPEN                                                                    
,@Þ
