   061573
 006C8U 3     1970
 00108V 3     3095
 00603\ 3    25945
 1P2BS[ 3      230
 001011 3    13815
 00603O 3     9715
 001002 3     2675
 006CE8 3        5
 00603] 3      925
 00708X 3     3590
 0014SB 3        5
 00706T 3     1130
 00U ZY 3     1010
 007CG] 3     1030
 003CKW 3        5
 006BP8 3     3990
 00708A 3       35
 0064UG 3       15
 00706R 3      760
 007C\4 3     8635
 006AWM 3       65
 001122 3        0
 00UAQR 3      480
 00100I 3        0
 00R0BX 3      555
 1K]AJF 3     1180
 00702A 3        0
 00U1WC 3       50
 00RCCM 3       10
 03D13Y 3       15
 0Z18SW 3      400
 001G6L 3        0
 001 I0 3        0
 001G8D 3      135
 1K]AJH 3     1600
 0IBHCP 3       65
 007GE4 3     1585
 00UG1J 3     1085
 0Z19HK 3       25
 0E]C\  3     1635
 00106G 3        0
 119G8B 3       40
 006G6M 3     1100
 0L25I5 3      780
 0L25IP 3      605
 0L2CGN 3      280
 0L2BMN 3      130
 0L25ID 3        5
 0L25IF 3      900
 0L2FK5 3      665
 0L25IN 3      355
 21CG8[ 3      465
 0Z18SR 3        0
 006G9J 3     8400
 006G9I 3     6545
 00ADI0 3      560
 0Z18SY 3     1475
 00RG8] 3      130
 006FD3 3      260
 0IF4[7 3      275
 00100B 3        0
 09QI3Z 3        0
 09QI3\ 3        0
 1P6BUR 3      110
 00RG90 3     2435
 0NH9ML 3       25
 002084 3       70
 0 X2PE 3       30
 03BG3E 3        0
 007BLR 3      165
 0]8 2\ 3        5
 00AC03 3        0
 00A1V\ 3      315
 19JAJQ 3      245
 004A23 3       55
 1[LGFH 3     1265
 1[LGFG 3      660
 00A TR 3       30
 00AGI[ 3       25
 004028 3       65
 00UAGI 3        0
 09QBAM 3      235
 001GDW 3       65
 00AGJ0 3       20
 09QI4V 3        0
 00 HQ3 3     4545
 00U0C2 3      380
 001003 3       10
 00AGJ5 3       20
 00AGJ7 3       25
 007GL8 3     1995
 007GO3 3     4030
 0NH643 3       30
 03D13W 3       90
 0 ZDI2 3      465
 23QGQK 3      105
 003GQP 3      345
 00AGQL 3      225
 09QI3[ 3       85
 0IFH8H 3       15
 00RGOK 3      125
 00AI8T 3        0
 00 HDR 3        0
 09QI3Y 3        0
 09QI4U 3        0
 004A24 3        5
 007INB 3    11280
 00RB7L 3       10
 00B11L 3       55
 00RB7K 3     1085
 2DXJ0H 3       10
 0PQ6OF 3      145
 004JZM 3        0
 008006 3        0
 007INZ 3        0
 003IP3 3     6000
 00U0CZ 3      160
 0L2I8S 3      365
 0IFGFO 3      220
 00RB6[ 3        0
 003ITM 3      905
 007IU2 3      305
 00RB81 3     1835
 00RB7[ 3      105
 0PQ6O  3      300
