1972 SIMMONS - TV STUDY - 6043 RESPONDENTS                              
 SOURCE: S72TV
 POINTER FILE: 72YPT.DAT 
 DATA FILE: INV72N.DAT
      7618 BITS PER RESPONDENT.
        12 BITS/WEIGHT
      4382 STARTING WEIGHT RECORD
 #RESP .NE. #MEN+#WOMEN.   OK?      15366 RESPONDENTS
      2677 MEN
         1 START BIT(MEN)
      3366 WOMEN
      7206 START BIT(WOMEN)
        32 CARDS/RESPONDENT
 
 COLS    YX0123456789 LOCATION
 12* 5 M 111111111111    1734
 12* 6 M 111111111111    1746
 12* 7 M 110111111110    1758
 12* 8 M 111111111111    1768
 12* 9 M 110111100000    1780
 12*10 M 110111111111    1786
 12*12 S 000110000000    1797
 12*13 M 000111100000    1799
 12*14 S 000111111000    1803
 12*15 S 000111111000    1806
 12*16 S 000111111000    1809
 12*17 S 000111111000    1812
 12*18 M 110111111100    1815
 12*20 M 111111111111    1824
 12*21 M 110111111000    1836
 12*22 M 111111111111    1844
 12*23 M 110100000000    1856
 12*24 M 111111111111    1859
 12*25 M 110110000000    1871
 12*26 M 011110111111    1875
 12*27 M 111111111111    1885
 12*28 M 110111000000    1897
 12*29 S 000111110000    1902
 12*30 S 000111110000    1905
 12*31 S 000111110000    1908
 12*32 S 000111110000    1911
 12*33 S 000111110000    1914
 12*34 S 000111110000    1917
 12*35 S 000111110000    1920
 12*36 S 000111110000    1923
 12*37 S 000111110000    1926
 12*38 S 000111110000    1929
 12*39 S 000111110000    1932
 12*40 S 000111110000    1935
 12*41 S 000111110000    1938
 12*42 S 000111110000    1941
 12*43 S 000111110000    1944
 12*44 S 000111110000    1947
 12*45 S 110111111111    1950
 12*46 S 110111111100    1954
 12*47 S 110111111111    1958
 12*48 S 011111111111    1962
 12*49 S 110000000000    1966
 12*50 S 110111000000    1968
 12*51 S 110111111000    1971
 12*52 S 110111111110    1975
 12*53 S 111111111111    1979
 12*54 S 110111111110    1983
 12*56 S 110111111111    1987
 12*58 S 110111111100    1991
 12*59 S 110111111111    1995
 12*60 S 111111111111    1999
 12*61 S 110111100000    2003
 12*62 S 111111111111    2006
 12*63 S 110111000000    2010
 12*64 S 110111111110    2013
 12*65 M 111111111111    2017
 12*66 M 111111111111    2029
 12*67 M 111111101111    2041
 12*68 M 111111111111    2052
 12*69 M 111111111111    2064
 12*70 M 111111101111    2076
 12*71 M 111111111111    2087
 12*72 M 111111111111    2099
 12*73 M 111111101111    2111
 12*74 M 111111111111    2122
 12*75 M 100110000000    2134
 12*76 S 100110000000    2137
 12*77 S 000111110000    2139
 12*78 S 110110000000    2142
 12*79 M 000111111000    2145
 12*80 S 111111111111    2151
 13* 2 S 110111111100    2155
 13*68 M 000111000000    2159
 13*69 M 000111111100    2162
 13*71 M 000111111100    2169
 13*73 M 000111111111    2176
 13*75 M 000111111110    2185
 14* 1 M 110111111000    2193
 14* 2 S 001111110000    2201
 14* 3 S 001111110000    2204
 14* 4 S 001111110000    2207
 14* 5 S 001111110000    2210
 14* 6 S 001111110000    2213
 14* 7 S 001111110000    2216
 14* 8 M 110111111000    2219
 14* 9 M 110111111100    2227
 14*10 M 111111111111    2236
 14*11 M 110111111110    2248
 14*12 M 111111111111    2258
 14*13 S 110000000000    2270
 14*14 M 111111111111    2272
 14*15 M 110111111100    2284
 14*16 M 110111111000    2293
 14*17 M 000111110000    2301
 14*18 S 000111111000    2306
 14*19 S 000111111000    2309
 14*20 S 000111111000    2312
 14*21 S 000111111000    2315
 14*22 S 000111111000    2318
 14*23 M 110111111000    2321
 14*24 M 110111111100    2329
 14*25 M 111111111111    2338
 14*26 M 110111111111    2350
 14*27 M 111111111111    2361
 14*28 M 110000000000    2373
 14*29 M 110111111000    2375
 14*30 M 001110000000    2383
 14*31 S 000111110000    2386
 14*32 S 000111110000    2389
 14*33 S 011111111111    2392
 14*34 M 100111111000    2396
 14*35 S 111111111111    2403
 14*36 S 110111111111    2407
 14*37 S 110111111111    2411
 14*38 S 110111111000    2415
 14*39 S 110111111000    2419
 14*40 M 100111111000    2423
 14*41 S 111111111111    2430
 14*42 S 110111000000    2434
 14*43 S 111111111111    2437
 14*44 S 110111000000    2441
 14*45 S 111111111000    2444
 14*46 S 110110000000    2448
 14*47 S 000110000000    2451
 14*48 M 000111100000    2453
 14*49 S 000111111100    2457
 14*51 M 111111111111    2460
 14*52 M 110110000000    2472
 14*53 M 111111111111    2476
 14*54 S 001111111111    2488
 14*55 S 001111111111    2492
 14*56 S 001111111111    2496
 14*57 S 001111111111    2500
 14*58 S 001111111111    2504
 14*59 S 001111111111    2508
 14*60 S 001111111111    2512
 14*61 S 001111111111    2516
 14*62 S 001111111111    2520
 14*63 S 001111111111    2524
 14*64 S 001111111111    2528
 14*65 S 110111111111    2532
 14*66 S 111111111111    2536
 14*67 S 110111111111    2540
 14*68 S 110111111111    2544
 14*69 S 111111111111    2548
 14*70 S 111111111111    2552
 14*71 S 111111111111    2556
 14*72 S 111111111111    2560
 14*73 S 111111111111    2564
 14*74 S 111111111111    2568
 14*75 S 110111110000    2572
 14*76 S 111111111111    2575
 14*77 S 111111111111    2579
 14*78 M 111111111111    2583
 14*79 S 011111111111    2595
 14*80 S 011111111111    2599
 15* 1 S 011111111111    2603
 15* 2 S 000111111000    2607
 15* 3 S 111111111111    2610
 15* 4 S 101111111111    2614
 15* 5 S 111111111111    2618
 15* 6 S 011111111111    2622
 15* 7 S 110000000000    2626
 15* 8 S 111111111111    2628
 15* 9 S 110000000000    2632
 15*10 S 111111111111    2634
 15*11 S 110111111000    2638
 15*12 S 110100000000    2642
 15*13 S 000111111000    2644
 15*14 S 110111111111    2647
 15*15 M 110111111110    2651
 15*16 S 001111111111    2661
 15*17 S 001111111111    2665
 15*18 S 001111111111    2669
 15*19 M 111111111111    2673
 15*20 M 110111111000    2685
 15*21 S 001111111111    2693
 15*22 S 001111111111    2697
 15*23 S 001111111000    2701
 15*24 S 111111111111    2704
 15*25 S 111111111111    2708
 15*26 S 111111111111    2712
 15*27 S 111111111111    2716
 15*28 S 111111111100    2720
 15*29 S 111111111100    2724
 15*30 S 111111111100    2728
 15*31 S 111111111000    2732
 15*32 M 111111111000    2736
 15*33 S 011111111111    2745
 15*34 S 011111111111    2749
 15*35 S 011111111111    2753
 15*36 S 110111111111    2757
 15*37 S 111111111111    2761
 15*38 S 111111111111    2765
 15*39 S 111111111111    2769
 15*40 S 110111111111    2773
