 006J3K31  100    1 3376
 006J5[11  100    1 3376
 006J5[21  100    1 3376
 006J5[31  100    1 3376
 006J8V11  100    1 3376
 006J8V31  100    1 3376
 006JAO31  100    1 3376
 006JCQ21  100    1 3376
 006JCQ31  100    1 3376
 006JQ531  100    1 3376
 006J\M31  100    1 3376
 007 [H11  100    1 3376
 007 [H21  100    1 3376
 007 [H31  100    1 3376
 00702211  100    1 3376
 00702231  100    1 3376
 00702A11  100    1 3376
 00702A31  100    1 3376
 00702H11  100    1 3376
 00702H21  100    1 3376
 00702H31  100    1 3376
 00702I11  100    1 3376
 00702I21  100    1 3376
 00702I31  100    1 3376
 00702N11  100    1 3376
 00702N31  100    1 3376
 00702\11  100    6 3376
 00702\21  100    1 3376
 00702\31  100    6 3376
 00704E11  100    1 3376
 00704E31  100    1 3376
 00706R11  100    1 3376
 00706R31  100    1 3376
 00706S11  100    1 3376
 00706S31  100    1 3376
 00706T11  100    1 3376
 00706T21  100    1 3376
 00706T31  100    1 3376
 00707011  100    1 3376
 00707031  100    1 3376
 00707911  100    1 3376
 00707931  100    1 3376
 00708A11  100    6 3376
 00708A21  100    1 3376
 00708A31  100    6 3376
 00708X11  100    1 3376
 00708X21  100    1 3376
 00708X31  100    1 3376
 00708[11  100    1 3376
 00708[21  100    1 3376
 00708[31  100    1 3376
 0071U311  100    6 3376
 0071U331  100    6 3376
 0072O431  100    1 3376
 0074OM11  100    1 3376
 0074OM21  100    1 3376
 0074OM31  100    1 3376
 0074SX11  100    1 3376
 0074SX31  100    1 3376
 0074TD11  100    1 3376
 0074TD31  100    1 3376
 007ANO11  100    6 3376
 007ANO31  100    6 3376
 007ATD11  100    1 3376
 007ATD21  100    1 3376
 007ATD31  100    1 3376
 007BLR11  100    6 3376
 007BLR31  100    6 3376
 007C9031  100    1 3376
 007CG]11  100    6 3376
 007CG]21  100    1 3376
 007CG]31  100    6 3376
 007C\411  100    1 3376
 007C\431  100    1 3376
 007D7F11  100    6 3376
 007D7F31  100    6 3376
 007D8W11  100    1 3376
 007D8W31  100    1 3376
 007D8X11  100    1 3376
 007D8X31  100    1 3376
 007FAO31  100    1 3376
 007GE411  100    1 3376
 007GE421  100    1 3376
 007GE431  100    1 3376
 007GL811  100    1 3376
 007GL831  100    1 3376
 007GO311  100    1 3376
 007GO331  100    1 3376
 007GXU21  100    1 3376
 007HEN11  100    1 3376
 007HEN21  100    1 3376
 007HEN31  100    1 3376
 007HFO31  100    1 3376
 007HFZ11  100    1 3376
 007HFZ21  100    1 3376
 007HFZ31  100    1 3376
 007I5I31  100    1 3376
 007INB21  100    1 3376
 007INB31  100    1 3376
 007INZ11  100    1 3376
 007INZ31  100    1 3376
 007IQN21  100    1 3376
 007IQN31  100    1 3376
 007IRT21  100    1 3376
 007IU231  100    1 3376
 007IYM11  100    1 3376
 007IYM31  100    1 3376
 007J8R11  100    1 3376
 007J8R21  100    1 3376
 007J8R31  100    1 3376
 007J8T31  100    1 3376
 007J9131  100    1 3376
